Products Collection ID,Product ID,Variants Collection ID,Variant ID,Product Type,Product Handle,Product Name,Product Description,Product Categories,Main Variant Image,More Variant Images,Variant Price,Variant Compare-at Price,Product Tax Class,Variant Sku,Variant Inventory,Requires Shipping,Variant Weight,Variant Width,Variant Height,Variant Length,Variant Download Name,Variant Download URL,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Created On,Updated On,Published On
5ff6d6c59948650f00ec96c4,5ff992246988fc6127a3a32d,5ff6d6c599486575bcec96da,5ff99224297eedcb0da71702,Physical,grey-face-mask-adult-unisex,Slate grey face mask,Stylish and sombre this face mask is for those that value their anonymity. Suitable for both men and women and teenage boys and girls. Made out of 100% organic cotton which means it is very soft on your skin and you will be able to wear it for long periods of time. Designed and stitched in Britain. ,Solid colour face masks,https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5ff71aad19ff6c4be12ae0d9_Untitled%20(21)%205.jpg,https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5fec9b413d8f86f782f24823_Untitled%20(42).jpg,£14.99,,standard-taxable,UHL-202012705-671,20,true,35,,,,,,,,,,,,Sat Jan 09 2021 11:23:16 GMT+0000 (Coordinated Universal Time),Tue Jan 19 2021 09:30:42 GMT+0000 (Coordinated Universal Time),Tue Jan 19 2021 09:43:02 GMT+0000 (Coordinated Universal Time)
5ff6d6c59948650f00ec96c4,5ff993416988fcabd5a3a32e,5ff6d6c599486575bcec96da,5ff99342bc875d160fb60f51,Physical,khaki-print-face-mask-adult-unisex,Khaki print face mask,"Face mask designed using traditional combat style fabric. Tough and durable, this is the ideal face mask to wear when you're hitting the gym. Suitable for both men and women and teenage boys and girls. Made out of 100% organic cotton which means it is very soft on your skin and you will be able to wear it for long periods of time. Designed and stitched in Britain. ",Patterned face masks,https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5feca3af559a42061a9ea725_Untitled%20(17).jpg,https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5fdb985eac72721ff98c7167_Untitled%20(17).jpg,£14.99,,standard-taxable,UHL-202006705-026,,true,35,,,,,,,,,,,,Sat Jan 09 2021 11:28:01 GMT+0000 (Coordinated Universal Time),Tue Jan 19 2021 09:28:33 GMT+0000 (Coordinated Universal Time),Tue Jan 19 2021 09:43:02 GMT+0000 (Coordinated Universal Time)
5ff6d6c59948650f00ec96c4,5ff6d6c5994865bd53ec9800,5ff6d6c599486575bcec96da,5ff6d6c59948654adfec96b1,Physical,kids-green-face-mask,Kids green face mask,This dark green face mask suitable for children aged between 10 and 14 years old. We recommend the adult mask if your child is older than 14. Made out of 100% organic cotton which means it is very soft on your skin and you will be able to wear it for long periods of time. Designed and stitched in Britain. ,Patterned face masks,https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5ffde4ff4f68068f20bea2dc_Untitled%20(101)%204.jpg,,£9.99,,standard-taxable,UHL-202006705-015,10,true,35,,,,,,,,,,,,Wed Oct 09 2019 12:01:08 GMT+0000 (Coordinated Universal Time),Tue Jan 19 2021 09:40:01 GMT+0000 (Coordinated Universal Time),Tue Jan 19 2021 09:43:02 GMT+0000 (Coordinated Universal Time)
5ff6d6c59948650f00ec96c4,5ff9911ee94da05badf6e12d,5ff6d6c599486575bcec96da,5ff99120c28d45871f75521f,Physical,leopard-print-face-mask-adult-unisex,Leopard print face mask,Bring out the big cat in you with this leopard print face mask. Suitable for both men and women and teenage boys and girls. Made out of 100% organic cotton which means it is very soft on your skin and you will be able to wear it for long periods of time. Designed and stitched in Britain. ,Patterned face masks,https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5fec9fe258d0b08e896ff3ba_Untitled%20(34).jpg,https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5fec9ef4b64093d096bbfcc7_Untitled%20(44).jpg; https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5fd64c7cc1a06b10d3eefd10_Untitled%20(7)%202.jpg; https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5fd588344a630929d38facd1_Untitled%20(8).jpg,£14.99,,standard-taxable,UHL-202008705-089,20,true,35,,,,,,,,,,,,Sat Jan 09 2021 11:18:54 GMT+0000 (Coordinated Universal Time),Tue Jan 19 2021 09:31:56 GMT+0000 (Coordinated Universal Time),Tue Jan 19 2021 09:43:02 GMT+0000 (Coordinated Universal Time)
5ff6d6c59948650f00ec96c4,5ff990b34479217e3b678610,5ff6d6c599486575bcec96da,5ff990b4999b7763b14e1bae,Physical,multicoloured-print-face-mask-adult-unisex,Butterfly print face mask,This multi-coloured butterfly-print mask is for the adventurous among you. Show your true colours (excuse the pun) with this larger than life vibrant face mask. Suitable for both men and women and teenage boys and girls. Made out of 100% organic cotton and 4 breathable layers for added protection. Designed and stitched in Britain.,Patterned face masks,https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5fec8b98b9e6898335a71bf5_Untitled%20(4)%204.jpg,https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5fec8ae3b9e6899949a71b1c_Untitled%20(40).jpg; https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5fec8a3c1b5800e700ef4afa_Untitled%20(39).jpg,£14.99,,standard-taxable,UHL-202012705-672,20,true,35,,,,,,,,,,,,Sat Jan 09 2021 11:17:07 GMT+0000 (Coordinated Universal Time),Tue Jan 19 2021 09:32:47 GMT+0000 (Coordinated Universal Time),Tue Jan 19 2021 09:43:02 GMT+0000 (Coordinated Universal Time)
5ff6d6c59948650f00ec96c4,5ff6d6c599486509f4ec97eb,5ff6d6c599486575bcec96da,5ff6d6c59948652f21ec97df,Physical,navy-blue-face-mask-school-uniform,Kids navy blue face mask,The navy blue school face mask is suitable for children aged between 10 and 14 years old. We recommend the adult mask if your child is older than 14. Made out of 100% organic cotton which means it is very soft on your skin and you will be able to wear it for long periods of time. Designed and stitched in Britain. ,Teen face masks,https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5ff718efc4875033e4e51ccb_Untitled%20(59)%204.jpg,https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5ff714f5be662280755e42af_Untitled%20(52)%202.jpg; https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5ff715109bcaab277133eb57_Untitled%20(59).jpg; https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5ff714bf340648e5d8da3407_Untitled%20(62).jpg,£9.99,,standard-taxable,UHL-202101705-021,10,true,35,,,,,,,,,,,,Wed Jan 06 2021 12:11:38 GMT+0000 (Coordinated Universal Time),Tue Jan 19 2021 09:36:47 GMT+0000 (Coordinated Universal Time),Tue Jan 19 2021 09:43:02 GMT+0000 (Coordinated Universal Time)
5ff6d6c59948650f00ec96c4,5ff991c80540cc2f2814eb41,5ff6d6c599486575bcec96da,5ff991c9999b7705414e1bce,Physical,navy-blue-white-stars-face-mask-adult-unisex,Navy blue/white stars face mask,Travel to the moon and back with this celestial navy blue with white stars face mask. Suitable for both men and women and teenage boys and girls. Made out of 100% organic cotton which means it is very soft on your skin and you will be able to wear it for long periods of time. Designed and stitched in the UK. ,Patterned face masks,https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5ff71a50991bba01dd5c632e_Untitled%20(23)%204.jpg,https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5fec8cc16e8146cb8bc17e64_Untitled%20(41).jpg; https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5fec88903d8f865308f21318_Untitled%20(38).jpg; https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5ff288a20d901f4a7d27dea9_Untitled%20(53).jpg,£14.99,,standard-taxable,UHL-202012705-023,20,true,35,,,,,,,,,,,,Sat Jan 09 2021 11:21:44 GMT+0000 (Coordinated Universal Time),Tue Jan 19 2021 09:31:15 GMT+0000 (Coordinated Universal Time),Tue Jan 19 2021 09:43:02 GMT+0000 (Coordinated Universal Time)
5ff6d6c59948650f00ec96c4,5ff6d6c599486588c7ec97f9,5ff6d6c599486575bcec96da,5ff6d6c59948658d82ec972f,Physical,onyx-black-face-mask,Onyx black face mask,"The onyx black face mask has to be a staple for any wardrobe. For work, college or the gym, this face mask is a timeless classic that works well with any outfit. Suitable for both men and women and teenage boys and girl. Designed and stitched in Britain. ",Solid colour face masks,https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5fecbca9d91ad3849dfdc1b0_Untitled%20(28)%208.jpg,https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5ff388f818f4c466918a8f0a_Untitled%20(49).jpg; https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5febd974d2c3b305b02a0a1a_Untitled%20(29).jpg; https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5ff38b049d56df72555725a6_Untitled%20(30).jpg,£14.99,,standard-taxable,UHL-202006705-023,,true,35,,,,,,,,,,,,Fri Oct 04 2019 13:54:44 GMT+0000 (Coordinated Universal Time),Tue Jan 19 2021 09:40:52 GMT+0000 (Coordinated Universal Time),
5ff6d6c59948650f00ec96c4,5ff8f3e652769125e56e8fb4,5ff6d6c599486575bcec96da,5ff8f3e77d47e0715f49f497,Physical,orange-face-mask-adult-unisex,Orange face mask,The orange adult face mask is suitable for both men and women and teenage boys and girls. Made out of 100% organic cotton which means it is very soft on your skin and you will be able to wear it for long periods of time. Designed and stitched in Britain. ,Solid colour face masks,https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5ff8fa020e826a77aa95478d_Untitled%20(26)%205.jpg,https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5ff8f9096d435d285ae97131_Untitled%20(15)%202.jpg; https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5ff8f98d79487e9652dd8402_Untitled%20(72)%202.jpg,£14.99,,standard-taxable,UHL-2021705-204,20,true,35,,,,,,,,,,,,Sat Jan 09 2021 00:08:06 GMT+0000 (Coordinated Universal Time),Tue Jan 19 2021 09:36:07 GMT+0000 (Coordinated Universal Time),Tue Jan 19 2021 09:43:02 GMT+0000 (Coordinated Universal Time)
5ff6d6c59948650f00ec96c4,5ff6d6c599486526a2ec97fe,5ff6d6c599486575bcec96da,5ff6d6c5994865444eec97ff,Physical,paisley-face-mask-adult-unisex,Paisley Face Mask,JOHN LEWIS FACE MASK COPY it deserves to be a staple of any wardrobe. Suitable for both men and women and teenage boys and girls. Made out of 100% cotton. Designed and stitched in Britain ,Solid colour face masks,,https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5fecb12c2d254280f620c6d2_Untitled%20(48).jpg; https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5febde719cc80b5be19b207c_Untitled%20(32).jpg; https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5febdf7f3bc9c5e31b6bf908_Untitled%20(33).jpg,£14.99,£19.99,standard-taxable,UHL-202009705-059,,true,35,,,,,,,,,,,,Wed Oct 09 2019 11:39:28 GMT+0000 (Coordinated Universal Time),Tue Jan 19 2021 09:40:53 GMT+0000 (Coordinated Universal Time),
5ff6d6c59948650f00ec96c4,5ff99050fdc97d2853c07dcf,5ff6d6c599486575bcec96da,5ff99050d37b968239078c04,Physical,pink-face-mask-adult-unisex,Baby pink face mask ,Light and airy baby pink unisex cotton face mask has to be in your wardrobe in Spring/Summer 2021. Suitable for both men and women and teenage boys and girls. Made out of 100% organic cotton which means it is very soft on your skin and you will be able to wear it for long periods of time. Designed and stitched in Britain. ,Solid colour face masks,https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5ff71f7304fcda932d329942_Untitled%20(5)%205.jpg,https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5ff09a6b01923a78b6fa372e_Untitled%20(5)%202.jpg; https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5ff09cf2493e93d5de817494_Untitled%20(6)%203.jpg,£14.99,,standard-taxable,UH-202006705-019,20,true,35,,,,,,,,,,,,Sat Jan 09 2021 11:15:28 GMT+0000 (Coordinated Universal Time),Tue Jan 19 2021 09:33:25 GMT+0000 (Coordinated Universal Time),Tue Jan 19 2021 09:43:02 GMT+0000 (Coordinated Universal Time)
5ff6d6c59948650f00ec96c4,5ff98fd4519af12e09901115,5ff6d6c599486575bcec96da,5ff98fd49ae8b37b7a1e4dc7,Physical,purple-face-mask-adult-unisex,Purple passion face mask ,This purple face mask is elegant and regal and is for those that like a little added colour in their lives. Suitable for both men and women and teenage boys and girls. Made out of 100% organic cotton which means it is very soft on your skin and you will be able to wear it for long periods of time. Designed and stitched in Britain. ,Solid colour face masks,https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5fecbd33a081fc56f37c61e0_Untitled%20(20)%203.jpg,https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5fecbd7f7aaf9604278c9a75_Untitled%20(19)%202.jpg; https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5febf7133baa0ab6dd8cee8b_Untitled%20(35).jpg,£14.99,,standard-taxable,UHL-202007705-102,20,true,35,,,,,,,,,,,,Sat Jan 09 2021 11:13:24 GMT+0000 (Coordinated Universal Time),Tue Jan 19 2021 09:34:01 GMT+0000 (Coordinated Universal Time),Tue Jan 19 2021 09:43:02 GMT+0000 (Coordinated Universal Time)
5ff6d6c59948650f00ec96c4,5ff99478e94da05b9bf6e136,5ff6d6c599486575bcec96da,5ff99479519af145c190114e,Physical,red-tartan-face-mask-adult-unisex,Red tartan face mask,"Made from Royal Stewart tartan, the red tartan face mask is our best seller. Suitable for both men and women and teenage boys and girls. Made out of 100% organic cotton which means it is very soft on your skin and you will be able to wear it for long periods of time. Designed and stitched in Britain. ",Patterned face masks,https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5ff71da01c767e63e862e8e8_Untitled%20(37)%203.jpg,https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5fd65b0156f6660937d3167f_Untitled%20(13).jpg; https://uploads-ssl.webflow.com/5fba92f4f6ec0d4d5f3477c9/5fecaeb2f7f41865a187833d_Untitled%20(47).jpg,£14.99,£19.99,standard-taxable,UHL-202006705-015,1,true,35,,,,,,,,,,,,Sat Jan 09 2021 11:33:12 GMT+0000 (Coordinated Universal Time),Tue Jan 19 2021 09:26:11 GMT+0000 (Coordinated Universal Time),Tue Jan 19 2021 09:43:02 GMT+0000 (Coordinated Universal Time)
